classification,title,category,ave_rating,num_ratings,reviews_total_5_stars,reviews_total_4_stars,reviews_total_3_stars,reviews_total_2_stars,reviews_total_1_stars,seller_name,seller_rating,ships_on_time,chat_response_rate,price,reviews,sentiment
Legit,"OPPO A57 (4+128GB /4+64GB) | 33W SuperVOOC Cellphone | 5000mAh Long-Lasting Battery | Dual Stereo Speakers | 6.56"" Color Rich Display Smartphone","Mobiles & Tablets,Smartphones",5,115,114,0,0,0,1,OPPO,0.99,0.99,0.93,6799,super na gustuhan ko sya and ang Gaan lng and smooth namn sya Ganda din ng camera super legit!!!! thanks you Xiaomi and kay kuya riderâ˜ºï¸ ,Positive
Legit,OPPO Reno6 5G 8+128GB | Bokeh Flare Portrait Video | MediaTek Dimensity 900 | 65W SuperVOOC 2.0 Flash Charge | Ultra-Slim Retro Design Cellphone | 64MP Rear & 32MP Front Camera Smartphone,"Mobiles & Tablets,Smartphones",5,98,96,1,1,0,0,OPPO,0.99,0.99,0.93,16299,received original xiaomi item. packed securely. quick delivery. will order again soon. ,Positive
Legit,[NEW] OPPO A78 5G | 8+8GB RAM Expansion w/ 128GB ROM | 33W SuperVOOC | 5000mAh Battery | 50MP AI Camera | Dual Stereo Speakers Smartphone,"Mobiles & Tablets,Smartphones",5,80,80,0,0,0,0,OPPO,0.99,0.99,0.93,12999,123 hhh tapat ng baliwag green gate bagong pagasa quezon city metro manila 1105 thankiess ,Positive
Legit,[NEW] OPPO A78 | 8+8GB RAM Expansion +256GB ROM | 67W SuperVOOC | 5000mAh Battery | FHD+ AMOLED Display Smartphone,"Mobiles & Tablets,Smartphones",5,96,96,0,0,0,0,OPPO,0.99,0.99,0.93,12999,"Stylish midnight black color!, High-resolution display for an immersive viewing experience!,  ",Positive
Legit,OPPO Reno8 5G | Dual Sony sensors | 32MP Selfie Cam | 80W SuperVOOC Smartphone,"Mobiles & Tablets,Smartphones",5,50,49,1,0,0,0,OPPO,0.99,0.99,0.93,27999,"Received in good condition, no damage at all. From box to unit. Mabilis din na-ship/deliver. Sa unit naman, ok na ok happy ang mama ko sa bago nyang phone. ðŸ™‚ Proven and tested na din talaga quality ng Redmi sakin. ðŸ‘ ",Positive
Legit,Redmi 13C 4+128/6+128/8+256 Global Version【in 1-year Warranty】,"Mobiles & Tablets,Smartphones",5,912,901,4,3,1,3,Xiaomi Official Store Global,0.98,0.94,0.99,4999,"Functionality:goods talaga
 Quality:gooss maganda
 Material:ass innnn
 ",Positive
Legit,Redmi Note 13 6+128G/8+256G Global Version With 1+1 year Warranty,"Mobiles & Tablets,Smartphones",5,762,753,6,0,2,1,Xiaomi Official Store Global,0.98,0.94,0.99,7999,"reflective black color on the back na pwedeng gawing emergency salamin without opening the camera

kasama na siyang jellycase inside so less hassle na bumili pa. Android 13. ",Positive
Legit,Redmi Note 13 Pro+ 5G 8+256G/12+512G Global Version With 1-year Warranty-open sale on Jan 16,"Mobiles & Tablets,Smartphones",4.9,142,137,2,0,0,3,Xiaomi Official Store Global,0.98,0.94,0.99,20999,"Fast and efficient performance!, Sleek design, love it!, Vibrant display, perfect for watching movies!, Fast delivery. thank you Ms.Cola for processing my order ",Positive
Legit,Redmi Note 13 Pro 8+256GB/12+512G Global Version With 1-year Warranty-open sale on Jan 16,"Mobiles & Tablets,Smartphones",5,153,150,1,1,0,1,Xiaomi Official Store Global,0.98,0.94,0.99,13999,Great!  ,Positive
Legit,[NEW] TECNO SPARK 20 16GB (8+8GB) + 256GB | 50MP Dual Camera | DTS Dual Speaker | 12 + 1 Warranty - LazPay Later,"Mobiles & Tablets,Smartphones",5,1468,1442,15,5,1,5,TecnoMobileStore,0.99,0.93,1,6199,legit. mabilis dumating . super sulit got it for a lower price. worth it. salamat po. kukuha po uli SA susunod. ,Positive
Legit,[ NEW ] - TECNO SPARK 20 PRO 16GB (8+8GB) + 256GB | 21GB (12+9GB) + 256GB | 108MP Ultra Sensing Camera | 400% Loud Volume DTS Dual Speakers | 12 + 1 Warranty - LazPay Later,"Mobiles & Tablets,Smartphones",5,595,586,7,0,1,1,TecnoMobileStore,0.99,0.93,1,8599,"""Powerful performance, stunning display, and exceptional camera make this phone a top-tier choice for tech enthusiasts."" ",Positive
Legit,Tecno Camon 19 6GB RAM+128GB ROM Model; CI6n ( 12 + 1 Local Warranty ),"Mobiles & Tablets,Smartphones",4.9,241,233,4,3,0,1,TecnoMobileStore,0.99,0.93,1,9990,"Vibrant display, perfect for watching movies!, Vibrant display, perfect for watching movies!, Fast and efficient performance!, Long-lasting battery life, perfect for all-day use!, High-resolution display for an immersive viewing experience!, Impressive camera quality!, Stylish midnight black color!, Impressive camera quality!, Sleek design, love it!, Sleek design, love it!,  ",Positive
Legit,[NEW] TECNO SPARK 20c 16GB (8+8GB) + 128GB | 50MP Dual Camera | DTS Dual Speaker | 12 + 1 Warranty - LazPay Later,"Mobiles & Tablets,Smartphones",5,3060,3026,15,9,1,9,TecnoMobileStore,0.99,0.93,1,5199,"Functionality:10/10
 Quality:10/10
 Material:10/10

phone is great! worth buying during sale. complete with waybill. item is properly packed and sealed. no factory defects.
 ",Positive
Legit,"Infinix Zero 30 4G 8GB + 256GB, MediaTek Helio G99 Processor, 2K 30FPS, with 1 year warranty","Mobiles & Tablets,Smartphones",5,469,459,5,1,2,2,Infinix,0.99,0.98,0.98,10299,"Vibrant display, perfect for watching movies!, High-resolution display for an immersive viewing experience!, Eye-catching sky blue color!, Elegant polar silver color!, Impressive camera quality!, Long-lasting battery life, perfect for all-day use!, ",Positive
Legit,"Infinix Hot 40 Pro, up to 16GB [8+ 256GB] MediaTek Helio G99 (1 year local warranty)","Mobiles & Tablets,Smartphones",5,2682,2666,6,5,2,3,Infinix,0.99,0.98,0.98,7829,"The box was in good condition and delivered to the door, and the store answered the questions very well. The store will ship it to you soon. The transportation speed is very fast.",Positive
Legit,"Infinix Note 30 5G, 8GB + 256GB, Dimensity 6080, 108MP Camera (1 Year Local Warranty)","Mobiles & Tablets,Smartphones",5,4379,4286,45,18,6,24,Infinix,0.99,0.98,0.98,9329,mabilis delivery mabait din rider mabilis kausap ty sa realme Philippines Ganda ng unit ko salamat po,Positive
Legit,"Infinix Zero 30 4G 8GB + 256GB, MediaTek Helio G99 Processor, 2K 30FPS, with 1 year warranty","Mobiles & Tablets,Smartphones",5,469,459,5,1,2,2,Infinix,0.99,0.98,0.98,10299,"Very durable and beautiful, fast charging, no heat when watching TV and playing games, beautiful mobile phone, super beautiful picture quality",Positive
Legit,"Infinix Note 30 5G, 8GB + 256GB, Dimensity 6080, 108MP Camera (1 Year Local Warranty)","Mobiles & Tablets,Smartphones",5,4380,4287,45,18,6,24,Infinix,0.99,0.98,0.98,9329,"The goods are received, the phone feels good, and the operation is still possible. For this price, it is worthwhile and practical,great store.",Positive
Legit,POCO X5 Pro 5G 6+128G / 8+256G Global Version 【in 1-year Warranty】,"Mobiles & Tablets,Smartphones",5,2362,2304,32,15,3,8,POCO Official Global Store,0.98,0.96,1,11990,"The machine is ok. Very beautiful. I haven't tried it yet, but overall it's good. I like it very much.",Positive
Legit,vivo Y36 5G cellphone 8GB RAM 256GB Big Storage mobiles phone 240Hz Gaming touch sampling rate 90 Hz refresh rate gamingphone 44W fastcharge 5000mah all-day battery smartphone Android 13 vivo phones,"Mobiles & Tablets,Smartphones",4.9,226,219,4,2,0,1,vivo,0.98,0.9,1,14999,"The performance of the mobile phone is very good. It's very smooth and comfortable to use. I like it very much. On the whole, it's a very good mobile phone. It's a very pleasant shopping",Positive
Legit,Apple iPhone 12,"Mobiles & Tablets,Smartphones",4.9,512,494,11,1,0,6,Beyond the Box,0.99,0.99,0.98,33890,"Para ito sa kaibigan ko. Pakiramdam ko napakaganda nito nang buksan ko ito. Napakaganda sa hitsura, na may maraming mga pag-andar at pagganap ng mataas na gastos. Ito ay nagkakahalaga ng pagbili. Naniniwala akong magugustuhan din ito ng aking kaibigan",Positive
Legit,Apple iPhone 15 Pro Max,"Mobiles & Tablets,Smartphones",5,201,199,2,0,0,0,Beyond the Box,0.99,0.99,0.98,76490,"Item received in good condition, no damages and well packaged. .  still thanks seller dun s freebie and to the courier,.. ",Positive
Legit,Samsung Galaxy S23 Ultra,"Mobiles & Tablets,Smartphones",4.8,388,356,13,8,0,11,Samsung,0.94,0.99,0.95,89990,"Ginamit ang telepono sa loob ng maraming araw pagkatapos matanggap ito. Ano ang mga problema na natagpuan sa ngayon, ang system ay maayos na singilin at ang screen ay malinaw, at ang presyo ay napaka mura.",Positive
Legit,vivo Y36 5G cellphone 8GB RAM 256GB Big Storage mobiles phone 240Hz Gaming touch sampling rate 90 Hz refresh rate gamingphone 44W fastcharge 5000mah all-day battery smartphone Android 13 vivo phones,"Mobiles & Tablets,Smartphones",4.9,226,219,4,2,0,1,vivo,0.98,0.9,1,14999,"super legit po ..nakasealed tlga Siya then it's ok nmn po you need to update it first the apps like fb, messenger or anything you use then you can easily log in on it... I love it thank you. Tita and my 6 years old younger sister is so happyâ˜ºï¸..and Don't mind the voice in the video,ðŸ˜ðŸ˜…",Positive
Legit,vivo Y36 5G cellphone 8GB RAM 256GB Big Storage mobiles phone 240Hz Gaming touch sampling rate 90 Hz refresh rate gamingphone 44W fastcharge 5000mah all-day battery smartphone Android 13 vivo phones,"Mobiles & Tablets,Smartphones",4.9,226,219,4,2,0,1,vivo,0.98,0.9,1,14999,"Ang ganda ng phone, this is my first time buying a phone online.. And i was so happy with the product..this is a legit store. Thank you seller.. Very satisfied.",Positive
Legit,Poco M6 Pro 8+256 / 12+512 Smartphones,"Mobiles & Tablets,Smartphones",0,No,0,0,0,0,0,Xiaomi Store PH,0.99,0.89,1,11699,good quality can be used normally The shop is very helpful.,Positive
Legit,"OPPO A57 (4+128GB /4+64GB) | 33W SuperVOOC Cellphone | 5000mAh Long-Lasting Battery | Dual Stereo Speakers | 6.56"" Color Rich Display Smartphone","Mobiles & Tablets,Smartphones",5,116,115,0,0,0,1,OPPO,0.99,0.99,0.93,6799,"sobrang legit and smooth ng pag gamit .. bilis din madeliver . and thank you po sa freebies  sana wala maging prob. in the future . thank you so much 

 ",Positive
Legit,OPPO Reno8 5G | Dual Sony sensors | 32MP Selfie Cam | 80W SuperVOOC Smartphone,"Mobiles & Tablets,Smartphones",5,50,49,1,0,0,0,OPPO,0.99,0.99,0.93,27999,Same as inidicated in sellers page. Shipped immediately.  Standard packaging. Same as indicated in sellers page. Shipped immediately,Positive
Fake,Free Gift】I 14 Pro Max Original Phone 12+512GB 5G Android Brand New Cheap Mobile Phone Full HD Screen 6.82 Inch GamingSmartphone Free Shipping COD,"Mobiles & Tablets,Smartphones",4.4,17,14,0,1,0,2,Ali‘s ’Online Shop,0.88,1,1,3704.02,"Wlaang damage nung dumating ang item.hindi ko talaga pina alis ang rider buti at mabait si rider sya pa talaga nag video,para kung sakaling ibabalik may proof. sa sim nilagyan ko .gana nmn. tamang tama sa kids kung gusto mo pang budget okay na dito.",Negative
Fake,Xiaomi Redmi 12 Cellphone original 2023 Android mobile phone 100% brand new smartphone 8GB+512GB 6.5inch smart phone gaming phone COD,"Mobiles & Tablets,Smartphones",4.8,120,112,1,0,0,7,Smart Watch Small Home Appliances 75,0.86,0.46,0.98,1899,"Order received, the item is good for its price. You get what you paid for. I didn't expect alot because it's cheap. The cellphone is good for children. I don't know if it functions well because I order it for someone else. The seller is responsible because they wrapped the cellphone with bubble wrap",Negative
Fake,【Buy 1 Get 6 Free】Original OPPO Reno8 Pro 7.5 Inch 16GB+512GB 5800mah 2024 Original Phone Sale 5G/Wifi Dual SIM Full HD Cheap Phone 1k Lowest Price Android Phone Special Price Legal Unlock Gaming Smartphone COD,"Mobiles & Tablets,Smartphones",4.7,273,253,1,3,2,14,Digital 5G Phone,0.94,0.96,1,1656.52,Thank you seller for being responsive. And safe na safe yung parcel ko. Salamat po again.,Negative
Fake,original cellphone OPP0 A97 big sale Android smartphone 7.5-inch Screen RAM 16GB+ROM 512GB Operating Memory 32+64PM High-definition Camera Dual-card Slot Mobile Phone Quality Assurance 5000mah Battery Capacity Student Party Game Mobile Phone,"Mobiles & Tablets,Smartphones",4.4,296,246,4,4,8,34,JIABAILI store,0.9,0.99,1,1766.61,Super ganda Thank you so much seller kala ko mauubusan ulit ako ng stocks. The item was shipped immediately once the product is available. It was also well packed walang damage yung box. Will order again to this shop. Thank you so much lazada,Negative
Fake,OPPO 13 pro max Mobile phone 5G smartphone RAM 12GB+ROM512GB cellphone original big sale 2022 cheap phone Android 10.0 phone 7.5 inch Full Screen gaming phone Dual SIM smart phone original free shipping android phone cheap phone gaming phone legit,"Mobiles & Tablets,Smartphones",4.4,68,58,0,0,1,9,Oppo direct-sale store PH,0.86,1,1,2156.59,I received the mobile phone and checked it. It is genuine. The mobile phone responds quickly. 5G Internet is really fast. The service attitude of the merchants is good. They are very careful to explain and the logistics are also fast. I bought it the night before and received it at noon the next day,Negative
Fake,"Tecno Spark 13 Pro Smartphone Original Legit 5G cellphone CP | 6.6"" FHD | 16GB+512GB | 48MP 5000mAh Battery Legit CP ( 12 + 1 Local Warranty ) COD","Mobiles & Tablets,Smartphones",4.7,191,176,2,3,0,10,Reliable Monitoring,0.89,1,1,2499,"Wlaang damage nung dumating ang item.hindi ko talaga pina alis ang rider buti at mabait si rider sya pa talaga nag video,para kung sakaling ibabalik may proof. sa sim nilagyan ko .gana nmn. tamang tama sa kids kung gusto mo pang budget okay na dito.",Negative
Fake,OPPO 14 pro max Mobile phone 5G smartphone RAM 12GB+ROM512GB cellphone original big sale 2022 cheap phone Android 10.0 phone 7.5 inch Full Screen gaming phone Dual SIM smart phone original free shipping android phone cheap phone gaming phone legit,"Mobiles & Tablets,Smartphones",4.2,110,85,1,1,3,20,Oppo direct-sale store PH,0.86,1,1,2144.02,"Order received, the item is good for its price. You get what you paid for. I didn't expect alot because it's cheap. The cellphone is good for children. I don't know if it functions well because I order it for someone else. The seller is responsible because they wrapped the cellphone with bubble wrap",Negative
Fake,Cellphone big sale original 2022 OPPO i14 PRO MAX 5G Smartphone 7.5 inch Full Screen Android Mobile Phone 24MP+48MP HD Camera 12GB RAM+512GB ROM Handphone CP Sale Original 1k only 5000mAh battery cheap game Phone Google store,"Mobiles & Tablets,Smartphones",4.6,30,26,1,0,0,3,OPPO phone 5G PH,0.94,1,Not enough ratings,2197,Thank you seller for being responsive. And safe na safe yung parcel ko. Salamat po again.,Negative
Fake,Cellphone Sale Original Realme S22 Ultra 5G Smartphone Galaxy S21 Mobile Phone 8GB RAM + 256GB ROM 6.1inch Full HD Screen 5000mAh Battery 48MP HD Camera CP Sale Original Legit Cheap Android Online Learning Game Handphone,"Mobiles & Tablets,Smartphones",5,2,2,0,0,0,0,wnqdTRNdT,0.87,0.9,1,768,Super ganda Thank you so much seller kala ko mauubusan ulit ako ng stocks. The item was shipped immediately once the product is available. It was also well packed walang damage yung box. Will order again to this shop. Thank you so much lazada,Negative
Fake,samsung s22 ultra original cellphone big sale 2023 Android Smart Phone 16GB+512GB Brand New Cheap Smartphone Mobile Phone 5.5inch Gaming Phone Lowest Price Cellphone 1K only Handphone,"Mobiles & Tablets,Smartphones",4.5,36,31,0,1,0,4,Realme 3C store,0.74,0.41,1,1699,I received the mobile phone and checked it. It is genuine. The mobile phone responds quickly. 5G Internet is really fast. The service attitude of the merchants is good. They are very careful to explain and the logistics are also fast. I bought it the night before and received it at noon the next day,Negative
Fake,Sumsung Note30 Ultra Cellphone Original Big Sale Note 30 Ultra 7.5inch 12GB+512GB 5800MAH 24mp+48mp Cheap Phone Android 10.0 Phone 7.5inch Full Screen Gaming Phone Dual SIM Smart Phone Original Free Shipping Android Phone Cheap Phone Legit Cellphone COD,"Mobiles & Tablets,Smartphones",4.8,970,920,4,6,5,35,JIABAILI store,0.9,0.99,1,1766.61,"Thank you seller, safe na safe ang item. thank you j&t also kasi super iningatan nyo item ko. update to da max. Great Job All",Negative
Fake,Smartphone 7.5 Full Screen Mobile Phone 2023 Murang Mobile Phone Android 11.0 Dual SIM 48MP AI Dual HD Camera 6800mAh Pinakamabentang Mobile Phone,"Mobiles & Tablets,Smartphones",4.4,44,36,2,0,1,5,bobo123,0.81,0.64,0.93,1183.41,Got the Item in good condition happy ang anak ko sa Birthday gift nya thank you Seller.Very satisfied.,Negative
Fake,S23 Ultra Asli hp 7.5Inci hp Murang Telepono Garantisado Opisyal na Promosyon Smartphone Original Storage RAM 6800mAh RAM 16GB ROM 512GB 5G HD Camera Dual SIM Murang Telepono,"Mobiles & Tablets,Smartphones",4.3,26,21,0,0,2,3,bobo123,0.81,0.64,0.93,1169.02,Super Happy and satisfied. Item was shipped very fast and received it on time. Thank you seller godbless you more! i really lovin my new phone,Negative
Fake,Smartphone 7.5 Full Screen Mobile Phone 2023 Murang Mobile Phone Android 11.0 Dual SIM 48MP AI Dual HD Camera 6800mAh Pinakamabentang Mobile Phone,"Mobiles & Tablets,Smartphones",4.4,44,36,2,0,1,5,bobo123,0.81,0.64,0.93,1183.41,"maraming maraming salamat,sa wakas naideliver din.legit talaga ang item.i reccomend this store.salamat lazada at sa rider",Negative
Fake,"Original 5G lPhone i13 Pro 5G Original Legal Phone Big Sale 2023 Smartphone 12GB RAM+512GB ROM Gaming cellphone sale original legit 6.78"" OLED 120Hz DotDisplay Android Cellphone 5G Original Phone 7000mAh Wifi Bluetooth Gaming Phone Free Shipping COD","Mobiles & Tablets,Smartphones",4.2,49,38,0,2,1,8,Comfast Electronics Accessories,0.73,0.92,0.98,1183.41,Got it safely. Very secured ng packing. The price is cheaper compared to other shops,Negative
Fake,【🇵🇭Stock &COD】Legal Phone i12 Pro Max 12 6.7 Inch Cellphone Sale Original 12GB+512GB 6800mAh 24MP+48MP Fast Charge Android Phone Face ID Unlock Mobile 5G 2023,"Mobiles & Tablets,Smartphones",4.5,15,13,0,0,0,2,Dollyy LED Light.ph,0.93,0.57,0.9,1963,"Thank you seller, safe na safe ang item. thank you j&t also kasi super iningatan nyo item ko. update to da max. Great Job All",Negative
Fake,【🇵🇭Stock &COD】Samsung Note 20 Ultra Pro Max 6.5 Inch 5G 12GB+128GB Gaming Smartphone Snapdragon 865 120Hz IP68 50MP Camera Full Screen 5000mAh,"Mobiles & Tablets,Smartphones",4.3,8,6,0,1,0,1,Dollyy LED Light.ph,0.93,0.57,0.9,1939,Got the Item in good condition happy ang anak ko sa Birthday gift nya thank you Seller.Very satisfied.,Negative
Fake,【COD】Samsung Galaxy M53 100% Original Cellphone Big Sale 2023 Android Smartphone Full HD 5.5 INCH Screen | 5000 mAH | 128GB + 256GB + 512GB,"Mobiles & Tablets,Smartphones",4.7,46,42,1,0,0,3,smartphone discount store,0.92,0.99,0.71,2199,"Excellent quality, legit for sure since from store. I love this phone. Easy to navigate and mukhang magtatagal naman. Sulit na sa price. Thanks.",Negative
